494;PEARCE David
495;ANTOINE Jacques
496;CHERKI Eddy
497;CLAVAUD Richard
498;MALSOT Jean
499;PISANI Edgard
500;DE DIETRICH Philippe
501;EUZÉBY Chantal
502;COLLECTIF
503;GROUPE TRAVAIL ET SOCIÉTÉ
504;DIRN Louis
505;PROTARD Olivier
506;RAY George F.
507;MARTIN Philippe
508;GLAZER Nathan
509;LE DIBERDER Alain
510;MAÏSSEU André
511;LE MUET Jacques
512;HESSEL Stéphane
513;NERFIN Marc
514;UNGERER Herbert
515;KUENSTLER Peter
516;MAGNAVAL Robert
517;BENOIT-GUILBOT Odile
518;BOUNFOUR Ahmed
519;DELORS Jacques
520;BERTIER Étienne
521;DAMIEN Arnaud
522;TABAH Léon
523;KODJO Edem
524;MÉALLIER André
525;KHADER Bichara
526;LANDIER Hubert
527;ALTER Norbert
528;RATIER-COUTROT Laurence
529;GUILLEMARD Anne-Marie
530;KARASEK I.
531;MARTINAGGI P.
532;BORKOWSKI Jean-Louis
533;CANCEILL Geneviève
534;COLVEZ Alain
535;MIZRAHI Andrée
536;MIZRAHI Arié
537;MENNESSIER Denis
538;SEBAG-LANOE Andrée
539;AVEROUS Christian
540;AVIAM Alexandre
541;POUTREL Jean-Marie
542;BURNS David
543;LALONDE Brice
544;FIETKAU Hans-Joachim
545;CORNELIUS Peter
546;MALUNAT Berndt Michael
547;MAYER-TASH Peter
548;WEBER Beate
549;BOMBARD Alain
550;ELKINGTON John
551;VOGE Jean
552;SOUPIZET Jean-François
553;DUQUESNE Jean
554;CROZIER Michel
555;SÉRIEYX Hervé
556;DURAND Thomas
557;LECOIN Jean-Pierre
558;PIGANIOL Pierre
559;EUZÉBY Alain
560;PERRIN Guy
561;MOUTON Pierre
562;LAURENT André
563;LYNES Tony
564;SAINT-JOURS Yves
565;FRANSMAN Léo
566;DURAN HERAS Almudena
567;GONZALEZ-SANCHO LOPEZ Emilio
568;IGL Gerhard
569;DUMONT Jean-Pierre
570;GRANRUT Charles (du)
571;ROSNAY Joël (de)
572;MIZRAHI Jean
573;BLANC Yves
574;CLERC Denis
575;GIROIRE Jacques
576;GASPARD Michel
577;LECAUCHOIS Jean
578;THOENIG Jean-Claude
579;BEST Fred J.
580;GREEN David
581;FREEMAN Christopher
582;GERSHUNY Jonathan
