459;NULL;14;NULL
460;NULL;14;NULL
461;ELMANDJRA Mahdi;238;397
462;Barde Jean-Philippe;173;398
463;LE QUÉMENT Joël;290;399
464;VIIIe Plan;291;400
465;FILLION Alain;292;401
466;NULL;14;NULL
467;NULL;14;NULL
468;GRENON Michel;150;404
469;MAAREK Gérard;293;405
470;CHASSÉRIAUX Jean-Michel;294;406
471;Mc INNES Geneviève;295;407
472;HAËNTJENS Jean;296;408
473;BOROT Damien;297;409
474;NULL;14;NULL
475;NULL;14;NULL
476;Rabier Jacques-René;298;412
477;EUROFORUM;299;413
478;BABEAU André;300;414
479;LEBART Ludovic;301;414
480;CATHELAT Bernard;256;415
481;PERGLER Peter;302;416
482;NULL;14;NULL
483;NULL;14;NULL
484;MOLTKE Konrad von;303;419
485;TRINK Claude-Emmanuel;304;420
486;POTIER Michel;174;421
487;SIREYJOL François;305;421
488;MEISSNER Werner;306;422
489;FAUDRY-BRENAC Édith;307;423
490;VESSERON Philippe;308;424
491;LEJEUNE Raymond;309;425
492;CATY Gilbert-François;130;426
493;NULL;14;NULL
494;NULL;14;NULL
495;ALEXANDRE Ariel;310;429
496;Barde Jean-Philippe;173;429
497;BARRÉ Rémi;311;430
498;BORDET Jean-Pierre;312;430
499;LAMBERT Jacques;313;430
500;TRINITY COLLEGE;314;431
501;CONNORD-LAJAMBE Hélène;315;432
502;CLAVERIE Maurice;316;433
503;DUPAS Alain;276;433
504;BUSINESS WEEK;317;434
505;NULL;14;NULL
506;NULL;14;NULL
507;NULL;14;NULL
508;CLAVERIE Maurice;316;438
509;DUPAS Alain;276;438
510;HAUTEFEUILLE Annie;318;439
511;REHN Gösta;319;440
512;ROBERT Michel;320;441
513;TOURAINE Alain;321;442
514;NULL;14;NULL
515;NULL;14;NULL
516;ROSANVALLON Pierre;322;445
517;LEMATTRE Patrick;323;446
518;PASSARIS Solange;324;447
519;TÉNIERE-BUCHOT Pierre-Frédéric;37;448
520;NULL;14;NULL
521;NULL;14;NULL
522;COLIN Jean-François;325;451
523;SCARDIGLI Victor;95;452
524;TERIET Bernhard;326;453
525;AZNAR Guy;327;454
526;DROUET Dominique;328;455
527;DURAND Colette;329;455
528;MATHIEU Hervé;330;455
529;LEROY Claude;331;456
530;LETOURNEUR Dominique;332;457
531;DELPLANQUE Bernard;333;458
532;FNEPE;164;459
533;LAFERRERE Sylvie;334;460
534;MERLEAU PONTY Claire;335;460
535;TARDY Anne;336;460
536;NULL;14;NULL
537;NULL;14;NULL
538;BENOUN Marc;337;463
539;SÉNICOURT Patrick;338;463
540;BATTINI Pierre;339;464
541;COCHEMÉ Bernard;284;465
542;EME Bernard;285;465
543;LAPLUME Yves;286;465
544;MAIER Hans E.;340;466
545;ZUSCOVITCH Ehud;341;467
546;NULL;14;NULL
547;NULL;14;NULL
548;FREY Bruno S.;342;470
549;POMMEREHNE Werner W.;343;470
550;CHADEAU Ann;344;471
551;FOUQUET Annie;345;471
552;CLAEYS BOUUAERT Ignace;346;472
553;MENDRAS Henri;68;473
554;NULL;14;NULL
555;NULL;14;NULL
556;NULL;14;NULL
557;NULL;14;NULL
558;ALBOUY Marc;347;478
559;TÉNIERE-BUCHOT Pierre-Frédéric;37;478
560;ROSNAY (de) Joël;348;479
561;BENOUN Marc;337;480
562;SÉNICOURT Patrick;338;480
563;GODET Michel;142;481
564;NULL;14;NULL
565;NULL;14;NULL
566;ROSANVALLON Pierre;322;484
567;MACLOUF Pierre;349;485
568;DAVID Jacques E.;350;486
569;GORZ André;351;487
570;STEVENS Jean-François;352;488
571;PFEIFFER Lucien;353;489
572;ZÉMOR Pierre;354;489
573;NULL;14;NULL
574;NULL;14;NULL
575;DER THIAM Iba;355;492
576;GODET Michel;142;493
577;ROBIN Jacques;356;493
578;ROQUEPLO Philippe;357;493
579;HORS Michel;358;494
580;MARCHETTI Cesare;203;495
581;NULL;14;NULL
582;NULL;14;NULL
583;NULL;14;NULL
584;LELU Alain;359;499
585;MARCHAND Marie;360;500
586;RICHARDSON John M.;361;501
587;GRENON Michel;150;502
588;NULL;14;NULL
589;NULL;14;NULL
590;CATY Gilbert-François;130;505
591;CORNIERE Paul;132;506
592;MENDRAS Marie;362;507
593;BERTRAND René;363;508
594;BRETON Jean-Louis;364;509
595;NULL;14;NULL
596;NULL;14;NULL
597;DEBBASCH Charles;365;512
598;VIRIEUX Jean-Marc;366;513
599;VULPIAN Alain (de);367;514
600;DUPUY François;368;515
601;VIÉ Jean-Émile;369;516
602;VUITTON Philippe;370;517
603;BOUCHET Jean;43;518
604;SAVY Michel;371;518
605;POMMIER Paulette;372;519
606;CHARREYRON Laurent;373;520
607;VINCENT Daniel H.;374;521
608;WORMS Jean-Pierre;375;522
609;PHLIPPONNEAU Michel;376;523
610;CHARREYRON Laurent;373;524
611;QUÉRÉ Louis;377;525
612;MARTEL Philippe;378;526
613;LE GALL Gérard;379;527
614;NULL;14;NULL
615;NULL;14;NULL
616;DAVIDSON Franck P.;380;530
617;FABRIZIO Claude;127;531
618;BECHMANN Roland;381;532
619;RAGON Michel;382;533
620;RAND CORPORATION;383;534
621;CHARREYRON Laurent;373;535
622;RAND CORPORATION;383;536
623;ZLOTOWSKI Fidel;384;537
624;DONNEAUD Jacques;385;538
625;PURCHA Mieczyslaw;386;538
626;PANERO Robert;387;539
627;DUPAS Alain;276;540
628;DAVIDSON Franck P.;380;541
629;NULL;14;NULL
630;NULL;14;NULL
631;ELMANDJRA Mahdi;238;544
632;VERDET Anne;388;545
633;JULIEN Pierre-André;52;546
634;SCHWAB Laurent;389;547
635;INGLEHART Ronald;390;548
636;NULL;14;NULL
637;NULL;14;NULL
638;JOUVENEL Hugues (de);180;551
639;BRUCKMANN Gerhart;391;552
640;BECK Paul W.;392;553
641;GESLIN SMALL Michèle;393;554
642;VERDET Anne;388;555
643;BANDT Charles de;394;556
644;BERTHELOT Yves;395;556
